name,x,y,coord,cluster,country,clust_name,africa
1,-4.302463617624416,1.8086528362456669,21.782418263041272,1,Algeria,NCDs,1
2,2.575521397271767,-0.0788938975641828,6.639534714877584,4,Angola,CDs,1
3,1.0169684456944637,0.3370661474539956,1.147838407297692,3,Benin,Double Burden,1
4,-2.3642510580285556,0.6349449398601724,5.992838142043182,2,Botswana,NCDs & HIV,1
5,0.8993824366280411,0.8294716892585954,1.4969120505965001,3,Burkina Faso,Double Burden,1
6,3.5790153655999135,0.12038452314078822,12.823843420612118,4,Burundi,CDs,1
7,0.9569876133042569,-1.1055474427919145,2.138060440281519,4,Cameroon,CDs,1
8,-3.1992280232207815,1.5669348152634361,12.690344659845808,1,Cape Verde,NCDs,1
9,4.125970362024959,-2.22199890442825,21.960910559588715,4,Central AfR,CDs,1
10,5.642599753246917,-2.511444998115211,38.14628795390008,4,Chad,CDs,1
11,0.6317898095670551,0.7993510561457267,1.0381204744340644,3,Comoros,Double Burden,1
12,2.803493200442105,0.293758376724623,7.945868108821003,4,"Congo, Democratic Republic of",CDs,1
13,0.3687783182315956,1.0279871754699759,1.1927550809284628,3,"Congo, Republic of",Double Burden,1
14,1.275829798734098,-2.4385028668272946,7.574037906862824,4,Cote d'Ivoire,CDs,1
15,-0.21223278555785918,-0.08452750038182469,0.05218765358644761,3,Djibouti,Double Burden,1
16,-4.874647299918302,0.5676747530959112,24.084440923903294,1,Egypt,NCDs,1
17,2.1326086897676166,-1.8974208228148568,8.148225602523759,4,Equa Guinea,CDs,1
18,1.0316132947591994,1.4645413677485304,3.209107407770667,3,Eritrea,Double Burden,1
19,0.833474829791878,1.5640898518093103,3.1410573564294704,3,Ethiopia,Double Burden,1
20,-0.8819849209983863,0.08342655410365597,0.78485739079814,3,Gabon,Double Burden,1
21,0.42734475368,0.9969823181194559,1.176597281140664,3,Gambia,Double Burden,1
22,-0.7456977987016624,0.8432282198003641,1.2670990376561964,3,Ghana,Double Burden,1
23,1.0721492610874508,-0.06478234601621259,1.153700790405731,3,Guinea,Double Burden,1
24,1.9407232105938423,-0.5619079815744907,4.08214715989479,4,GuineaBiss,CDs,1
25,0.6686305849921734,3.081823294198814,9.944701675853405,3,Kenya,Double Burden,1
26,-1.6442518879016685,-4.738400050420329,25.155999308691577,2,Lesotho,NCDs & HIV,1
27,0.8823868903857578,1.0855244284578582,1.9569699091034072,3,Liberia,Double Burden,1
28,-5.09391591847767,1.0531869271937064,27.057182088131924,1,Libya,NCDs,1
29,-0.12198197050084583,1.8159584731536849,3.312584777345932,3,Madagascar,Double Burden,1
30,0.7539831360458378,1.676845988193682,3.380303037562762,3,Malawi,Double Burden,1
31,0.9899307413995924,0.480615025956672,1.210953675943279,3,Mali,Double Burden,1
32,0.4174827150933171,0.3581034104670773,0.3025298699898398,3,Mauritania,Double Burden,1
33,-7.183590784427625,-2.5771136438981284,58.245491291679386,1,Mauritius,NCDs,1
34,-4.8250324630917225,1.6891765347028793,26.1342556352798,1,Morocco,NCDs,1
35,0.8549720487523662,0.7881966568242071,1.3522311739766755,3,Mozambique,Double Burden,1
36,-1.808267691035751,-0.6957140824055429,3.7538501269011526,2,Namibia,NCDs & HIV,1
37,2.1517073940572207,1.513644252461037,6.9209636326488475,3,Niger,Double Burden,1
38,3.209135663853898,-2.0907522688240143,14.669796758611762,4,Nigeria,CDs,1
39,-0.23616153881927204,2.0242943174709045,4.153539756162482,3,Rwanda,Double Burden,1
40,-0.9941373946459726,0.9132014569073588,1.822246060331205,3,Sao Tome and Principe,Double Burden,1
41,-0.9138675331507278,2.431458017584512,6.747141959423002,3,Senegal,Double Burden,1
42,-5.210378836194764,-3.34420231271355,38.33173672502495,1,Seychelles,NCDs,1
43,2.121814193172328,-2.41530503810632,10.33579389744931,4,SierraLeo,CDs,1
44,5.205618611489014,-0.9394429735554741,27.981018228843567,4,Somalia,CDs,1
45,-3.646204112821492,-4.98956383459414,38.19055169184614,2,South Africa,NCDs & HIV,1
46,-1.010856802408853,-0.38050414541102057,1.1666148796512217,3,Sudan,Double Burden,1
47,4.045587552571585,-0.6294696007821804,16.763010623831025,4,Sudan South,CDs,1
48,-0.6776526177467918,-1.8433155708617575,3.8570253641204864,2,Swaziland,NCDs & HIV,1
49,0.31318135339291414,1.7018362082527119,2.9943290398329854,3,Tanzania,Double Burden,1
50,0.2815916570172424,0.6415710130070199,0.49090722603257,3,Togo,Double Burden,1
51,-6.579714966103694,-0.4702544786616315,43.51378830987026,1,Tunisia,NCDs,1
52,1.8420730937859902,0.9171510664103519,4.234399361467935,3,Uganda,Double Burden,1
53,1.3506020341567408,1.258440874095444,3.4077992882624315,3,Zambia,Double Burden,1
54,0.1235718107857338,-0.29045780882978867,0.09963573113106726,3,Zimbabwe,Double Burden,1
